"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Estrada-Padilla A.; Gómez-Santillán C.; Joaquín Fraire-Huacuja H.; Cruz-Reyes L.; Rangel-Valdez N.; Lucila Morales-Rodríguez M.; José Puga-Soberanes H.","Estrada-Padilla, Alejandro (57566180000); Gómez-Santillán, Claudia (25932036900); Joaquín Fraire-Huacuja, Héctor (57862134900); Cruz-Reyes, Laura (56587957100); Rangel-Valdez, Nelson (57212504620); Lucila Morales-Rodríguez, María (57224542419); José Puga-Soberanes, Héctor (57862135000)","57566180000; 25932036900; 57862134900; 56587957100; 57212504620; 57224542419; 57862135000","GRASP/Δ: An efficient algorithm for the multi-objective portfolio optimization problem","2023","Expert Systems with Applications","211","","118647","","","","1","10.1016/j.eswa.2022.118647","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136663312&doi=10.1016%2fj.eswa.2022.118647&partnerID=40&md5=06f03a005e0c4e632d9f3a0a33c5b6d8","The multi-objective portfolio optimization problem with fuzzy trapezoidal parameters involves a search for a subset of projects that, within the given available resources, maximizes the benefits while reducing the uncertainty. Traditionally, evolutionary algorithms are used to solve this problem; however, they do not exploit the locality structure of a solution or compute the values of its objective functions using the full set of n decision variables. As a result, the number of evaluations that can be computed within a fixed amount of time decreases as the size of the instances increases, yielding poor performance. This work proposes a new non-evolutionary GRASP/Δ algorithm that includes a novel local search with an efficient local computation strategy. The use of local computation reduces the number of operations required to compute the values of the objective functions from O(n) to O(1). Consequently, the increment in evaluations performed in the proposed approach increases the quality of the obtained solutions, particularly as the search space grows. An experiment conducted with instances of different sizes demonstrates the overall competitiveness of GRASP/Δ compared to other state-of-the-art algorithms. Our results show, as expected, that the differences in performance become statistically more significant when dealing with instances defined by large search spaces. These results were validated using non-parametric statistical tests. © 2022 Elsevier Ltd","GRASP algorithm; Local computation algorithm; Multi-objective portfolio optimization problem; Trapezoidal fuzzy numbers; Uncertainty","Computational efficiency; Financial data processing; Function evaluation; Fuzzy sets; Multiobjective optimization; Quality control; Computation algorithm; GRASP algorithm; Local computation; Local computation algorithm; Multi-objective portfolio optimization; Multi-objective portfolio optimization problem; Objective functions; Optimization problems; Trapezoidal fuzzy numbers; Uncertainty; Evolutionary algorithms","Article","Final","","Scopus","2-s2.0-85136663312"
"Phelps N.; Metzler A.","Phelps, Nathan (57211932869); Metzler, Adam (55767470400)","57211932869; 55767470400","Enhancing an existing algorithm for small-cardinality constrained portfolio optimisation","2023","Journal of the Operational Research Society","","","","","","","0","10.1080/01605682.2023.2224823","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162637335&doi=10.1080%2f01605682.2023.2224823&partnerID=40&md5=a9ef4aac5bc7ea3be8cb592679ed0958","The efficient frontier (EF) allows an investor to (in theory) maximise their return for a given level of risk. Portfolios on the EF may contain many assets, making their management difficult and possibly expensive. An investor may wish to impose an upper bound on the number of assets in their portfolio, leading to so-called cardinality constrained efficient frontiers (CCEFs). Recently, a new algorithm was developed to find CCEFs for small cardinalities. Relative to other algorithms for this problem, this algorithm is very intuitive, and its authors demonstrated that it performs at nearly the state-of-the-art. However, we have found that the algorithm seems to struggle in certain situations, particularly when faced with both bonds and equities. While preserving its intuitiveness, we modified the algorithm to improve its CCEFs. This improvement comes with longer runtimes, but we think many practitioners will prefer the algorithm with modifications. Some practitioners may prefer other algorithms, due to the runtimes or because some points on our CCEFs still fall short of optimality. However, in addition to its intuitiveness, our modified algorithms (and the original version) find low-risk points on the CCEF that a state-of-the-art algorithm does not. © 2023 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Cardinality constraint; mean-variance portfolio optimisation; portfolio selection","Operations research; Cardinalities; Cardinality constraints; Constrained portfolios; Efficient frontier; Mean-variance portfolio optimization; Portfolio optimization; Portfolio selection; Runtimes; State of the art; Upper Bound; Constrained optimization","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85162637335"
"Xiu S.; Wang X.; Palomar D.P.","Xiu, Shengjie (58031419600); Wang, Xiwen (57747945700); Palomar, Daniel P. (6603425703)","58031419600; 57747945700; 6603425703","A Fast Successive QP Algorithm for General Mean-Variance Portfolio Optimization","2023","IEEE Transactions on Signal Processing","71","","","2713","2727","14","0","10.1109/TSP.2023.3295180","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165245166&doi=10.1109%2fTSP.2023.3295180&partnerID=40&md5=79f19e192d080f216f4ba9d41f73c9e4","The mean and variance of portfolio returns are the standard quantities to measure the expected return and risk of a portfolio. Efficient portfolios that provide optimal trade-offs between mean and variance warrant consideration. To express a preference among these efficient portfolios, investors have put forward many mean-variance portfolio (MVP) formulations which date back to the classical Markowitz portfolio. However, most existing algorithms are highly specialized to particular formulations and cannot be generalized for broader applications. Therefore, a fast and unified algorithm would be extremely beneficial. In this paper, we first introduce a general MVP problem formulation that can fit most existing cases by exploring their commonalities. Then, we propose a widely applicable and provably convergent successive quadratic programming algorithm (SCQP) for the general formulation. The proposed algorithm can be implemented based on only the QP solvers and thus is computationally efficient. In addition, a fast implementation is considered to accelerate the algorithm. The numerical results show that our proposed algorithm significantly outperforms the state-of-the-art ones in terms of convergence speed and scalability. © 1991-2012 IEEE.","active set methods; Mean-variance portfolios; Pareto frontier; successive quadratic programming algorithm","Approximation algorithms; Economic and social effects; Financial data processing; Quadratic programming; Risk assessment; Signal processing; Active-set methods; Efficient portfolio; Linear-programming; Mean-variance portfolios; Optical wavelength conversion; Optimisations; Pareto frontiers; Portfolio; Signal processing algorithms; Successive Quadratic Programming algorithms; Linear programming","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85165245166"
"Cura T.","Cura, Tunchan (24334597700)","24334597700","A rapidly converging artificial bee colony algorithm for portfolio optimization","2021","Knowledge-Based Systems","233","","107505","","","","21","10.1016/j.knosys.2021.107505","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116073396&doi=10.1016%2fj.knosys.2021.107505&partnerID=40&md5=0657701019987a1a521775fa34a73c34","A survey of the relevant literature shows that there have been many studies of the portfolio optimization problem, and that the number of these studies that have been based on heuristic techniques is quite high. We present a heuristic approach to the portfolio optimization problem using the artificial bee colony technique. As a test dataset, we use weekly prices from March 1992 to September 1997 from the following indices: Hang Seng in Hong Kong, DAX 100 in Germany, FTSE 100 in the UK, S&P 100 in the USA and Nikkei in Japan. This test dataset also includes daily prices from May 2013 to April 2016 from the XU030 and XU100 indices in Turkey. In this study, the cardinality-constrained mean–variance portfolio optimization model is treated as a mixed quadratic and integer programming problem, for which heuristic approaches are appropriate. The results of this study are compared with those of genetic algorithms, tabu search, simulated annealing, particle swarm optimization, a differential evaluation algorithm, a greedy randomized adaptive search procedure, an artificial bee colony, ant colony optimization, and a variable neighborhood search algorithm. The purpose of this paper is to present a relatively efficient and effective heuristic method to the portfolio optimization problem. The results show that the proposed artificial bee colony approach achieves these aims. © 2021 Elsevier B.V.","Artificial bee colony; cardinality constrained mean–variance​ model; Portfolio optimization","Ant colony optimization; Artificial intelligence; Binary alloys; Constrained optimization; Costs; Financial data processing; Genetic algorithms; Integer programming; Particle swarm optimization (PSO); Simulated annealing; Statistical tests; Tabu search; Uranium alloys; Bee colony algorithms; Cardinalities; Cardinality constrained mean–variance​ model; Heuristic techniques; Heuristics approaches; Hong-kong; Mean variance model; Mean-variance portfolio optimization; Optimization problems; Portfolio optimization; Heuristic methods","Article","Final","","Scopus","2-s2.0-85116073396"
"Muganda B.W.; Kasamani B.S.","Muganda, Brian Wesley (58476646400); Kasamani, Bernard Shibwabo (57210202592)","58476646400; 57210202592","Parallel Programming for Portfolio Optimization: A Robo-Advisor Prototype using Genetic Algorithms with Recurrent Neural Networks","2023","2023 International Conference on Intelligent Computing, Communication, Networking and Services, ICCNS 2023","","","","167","176","9","1","10.1109/ICCNS58795.2023.10193396","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168369376&doi=10.1109%2fICCNS58795.2023.10193396&partnerID=40&md5=5934d77d7fd395796a8c1fd3aee63507","This paper presents a robo-advisory prototype that synergizes a Long Short-Term Memory (LSTM) based Recurrent Neural Network (RNN) model for asset price forecasting and genetic algorithm for the portfolio optimization problem. The LSTM model was found to be proficient in predicting the prices of Gasoline/Brent Crack Spread, Heating Oil/Brent Crack Spread, and Gas/Crude Oil Energy Spread with an RMSE between 2.25 and 5.62, confirming its capacity for accurate forecasting with minimal computational latency. The genetic algorithm for portfolio allocation demonstrated dynamic adaptation to various investment objectives. Under risk-minimization and return-maximization strategies, it distinctly favored Gasoline/Brent Crack Spread and Heating Oil/Brent Crack Spread respectively, showcasing its ability to calibrate between risk and return profiles. The prototype leverages parallelization to achieve up to 20-fold decrease in computational latency. This paper's findings extend to the computational finance and artificial intelligence realm, presenting an efficacious machine learning-centered approach to portfolio management. The developed prototype demonstrates robustness, scalability, and efficiency under variable inputs and conditions suggesting its potential for widespread implementation in the investment advisory sector. Moreover, it sets a precedent for future research in the development of AI-driven financial advisory systems, which could involve exploration of other stochastic optimization algorithms, machine learning models, and hybrid models to enhance forecasting accuracy and efficiency in financial applications. © 2023 IEEE.","AI in Finance; Genetic Algorithms; Multicore Computation; Parallel Programming; Portfolio Optimization; Prediction; Recurrent Neural Networks; Spread Option Pricing","Costs; Economics; Electronic trading; Gasoline; Genetic algorithms; Genetic programming; Investments; Learning algorithms; Long short-term memory; Parallel programming; AI in finance; Crack spread; Heating oil; Multi-cores; Multicore computation; Options pricing; Portfolio optimization; Recurrent neural network model; Spread option; Spread option pricing; Forecasting","Conference paper","Final","","Scopus","2-s2.0-85168369376"
"Fernández E.; Solares E.; Coello Coello C.A.; De-León-Gómez V.","Fernández, Eduardo (56598611800); Solares, Efrain (57203939729); Coello Coello, Carlos A. (7003514400); De-León-Gómez, Victor (56866249700)","56598611800; 57203939729; 7003514400; 56866249700","An Overall Characterization of the Project Portfolio Optimization Problem and an Approach Based on Evolutionary Algorithms to Address It","2022","Adaptation, Learning, and Optimization","26","","","65","88","23","1","10.1007/978-3-030-88315-7_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119330670&doi=10.1007%2f978-3-030-88315-7_4&partnerID=40&md5=3afeb27ec0d559b946141ca1a7613a4a","This chapter describes the main features of project portfolio selection and formalizes a problem statement that considers these features. We provide a simple but comprehensive illustrative example that shows the usefulness of the problem statement and argue that there are no published approaches so far that deal with its whole complexity. We also provide some guidelines to build such an approach based on the use of evolutionary algorithms. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.","","","Book chapter","Final","","Scopus","2-s2.0-85119330670"
"Febrianti W.; Sidarto K.A.; Sumarti N.","Febrianti, Werry (57196419471); Sidarto, Kuntjoro Adji (24605525800); Sumarti, Novriana (8982953700)","57196419471; 24605525800; 8982953700","Solving Constrained Mean-Variance Portfolio Optimization Problems Using Spiral Optimization Algorithm","2023","International Journal of Financial Studies","11","1","1","","","","1","10.3390/ijfs11010001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151084669&doi=10.3390%2fijfs11010001&partnerID=40&md5=2b8009fa81a49ce93ce5319137f68014","Portfolio optimization is an activity for balancing return and risk. In this paper, we used mean-variance (M-V) portfolio models with buy-in threshold and cardinality constraints. This model can be formulated as a mixed integer nonlinear programming (MINLP) problem. To solve this constrained mean-variance portfolio optimization problem, we propose the use of a modified spiral optimization algorithm (SOA). Then, we use Bartholomew-Biggs and Kane’s data to validate our proposed algorithm. The results show that our proposed algorithm can be an efficient tool for solving this portfolio optimization problem. © 2022 by the authors.","constrained portfolio optimization; mixed integer nonlinear programming; spiral optimization algorithm","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85151084669"
"Kizys R.; Doering J.; Juan A.A.; Polat O.; Calvet L.; Panadero J.","Kizys, Renatas (56002685400); Doering, Jana (57190182982); Juan, Angel A. (56129392700); Polat, Onur (57207863394); Calvet, Laura (57119537500); Panadero, Javier (57201350845)","56002685400; 57190182982; 56129392700; 57207863394; 57119537500; 57201350845","A simheuristic algorithm for the portfolio optimization problem with random returns and noisy covariances","2022","Computers and Operations Research","139","","105631","","","","11","10.1016/j.cor.2021.105631","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120438254&doi=10.1016%2fj.cor.2021.105631&partnerID=40&md5=9ce4cdaccfecb5e0840a5d3f635f2dad","The goal of the portfolio optimization problem is to minimize risk for an expected portfolio return by allocating weights to included assets. As the pool of investable assets grows, and additional constraints are imposed, the problem becomes NP-hard. Thus, metaheuristics are commonly employed for solving large instances of rich versions. However, metaheuristics do not fully account for random returns and noisy covariances, which renders them unrealistic in the presence of heightened uncertainty in financial markets. This paper aims to close this gap by proposing a simulation–optimization approach – specifically, a simheuristic algorithm that integrates a variable neighborhood search metaheuristic with Monte Carlo simulation – to deal with stochastic returns and noisy covariances modeled as random variables. Computational experiments performed on a well-established benchmark instance illustrate the advantages of our methodology and analyze how the solutions change in response to a varying degree of randomness, minimum required return, and probability of obtaining a return exceeding an investor-defined threshold. © 2021 Elsevier Ltd","Biased randomization; Constrained portfolio optimization; Financial assets; Metaheuristics; Simulation; Variable neighborhood search","Benchmarking; Constrained optimization; Financial data processing; Intelligent systems; Monte Carlo methods; Random processes; Stochastic systems; Biased randomization; Financial assets; Metaheuristic; NP-hard; Optimization problems; Portfolio optimization; Randomisation; Simulation; Uncertainty; Variable neighborhood search; Heuristic algorithms","Article","Final","","Scopus","2-s2.0-85120438254"
"Hasan M.F.; Mohammed S.R.","Hasan, Musaab Falih (57213529764); Mohammed, Sawsan Rasheed (57222591801)","57213529764; 57222591801","Time and finance optimization model for multiple construction projects using genetic algorithm","2022","Journal of the Mechanical Behavior of Materials","31","1","","267","281","14","0","10.1515/jmbm-2022-0032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131790999&doi=10.1515%2fjmbm-2022-0032&partnerID=40&md5=c528999557732ba614cea7b3761045f3","Construction contractors usually undertake multiple construction projects simultaneously. Such a situation involves sharing different types of resources, including monetary, equipment, and manpower, which may become a major challenge in many cases. In this study, the financial aspects of working on multiple projects at a time are addressed and investigated. The study considers dealing with financial shortages by proposing a multi-project scheduling optimization model for profit maximization, while minimizing the total project duration. Optimization genetic algorithm and finance-based scheduling are used to produce feasible schedules that balance the finance of activities at any time with the available funds. The model has been tested in multi scenarios, and the results are analyzed. The results show that negative cash flow is minimized from -693,784 to -634,514 in enterprise I and from -2,646,408 to -2,529,324 in enterprise II in the first scenario and also results show that negative cash flow is minimized to -612,768 with a profit of +200,116 in enterprise I and to -2,597,290 with a profit of +1,537,632 in enterprise II in the second scenario.  © 2022 Musaab Falih Hasan and Sawsan Rasheed Mohammed, published by De Gruyter.","cash flow; genetic algorithm; multiple construction projects; optimization","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85131790999"
"Zhang Z.-X.; Chen W.-N.; Hu X.-M.","Zhang, Zhi-Xuan (57395384800); Chen, Wei-Neng (15073864100); Hu, Xiao-Min (56313937000)","57395384800; 15073864100; 56313937000","A knowledge-based constructive estimation of distribution algorithm for bi-objective portfolio optimization with cardinality constraints[Formula presented]","2023","Applied Soft Computing","146","","110652","","","","0","10.1016/j.asoc.2023.110652","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167776514&doi=10.1016%2fj.asoc.2023.110652&partnerID=40&md5=fce325ee45b71bb07d8d35ab028045af","Portfolio optimization is an essential and practical model for financial decision making. With the consideration of some real-world constraints, especially the cardinality constraints, the problem becomes much more challenging as it converts to a mixed-integer quadratic multi-objective optimization problem. To solve this problem, we propose a knowledge-based constructive estimation of distribution algorithm (KC-EDA) with the following three features. First, a hybrid design of Ant colony optimization (ACO) and Estimation distribution algorithm (EDA) is used to solve this mixed-variable optimization problem based on knowledge information. Second, a knowledge accumulation mechanism is designed to discover the internal relationship among the assets. The mechanism can not only guide the selection of assets effectively but also enable the use of historical information during evolution to direct the allocation of investment proportion. Third, a constructive approach is applied to construct portfolios under the constraints. This hybrid and constructive approach is incorporated into the multi-objective evolutionary framework and the experiment has been performed on the SZ50, SZ180, and SZ380 datasets (from January 2014 to December 2018). The experimental results demonstrate the effectiveness of KC-EDA in solving the portfolio optimization problem with cardinality constraints. © 2023","Ant colony optimization; Constraint optimization; Estimation distribution algorithm; Mean–variance model; Multi-objective optimization; Portfolio optimization","Ant colony optimization; Decision making; Evolutionary algorithms; Financial data processing; Integer programming; Knowledge based systems; Multiobjective optimization; Cardinality constraints; Constraint optimizations; Distribution algorithms; Estimation distribution algorithm; Estimation of distributions; Knowledge based; Mean variance model; Multi-objectives optimization; Optimization problems; Portfolio optimization; Constrained optimization","Article","Final","","Scopus","2-s2.0-85167776514"
"Veikle E.; Pantaleev S.","Veikle, Eric (57216992107); Pantaleev, Stefan (57193188068)","57216992107; 57193188068","Combining Simulation and Machine Learning for the Optimization of Powder Handling Processes with Altair Portfolio of Tools","2022","AIChE Annual Meeting, Conference Proceedings","2022-November","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179607477&partnerID=40&md5=ea28e985d91bba3c76f91d4e65c9211a","[No abstract available]","Bin Blending; DEM; Machine Learning; Optimization; Real-Time Simulation; Reduce Order Model","","Conference paper","Final","","Scopus","2-s2.0-85179607477"
"Wang H.; Zhang W.; He Y.; Cao W.","Wang, Hao (57215109028); Zhang, Wanying (57733260000); He, Yuxin (57280731200); Cao, Wenming (7402082924)","57215109028; 57733260000; 57280731200; 7402082924","l0-norm based Short-term Sparse Portfolio Optimization Algorithm Based on Alternating Direction Method of Multipliers","2023","Signal Processing","208","","108957","","","","0","10.1016/j.sigpro.2023.108957","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150345422&doi=10.1016%2fj.sigpro.2023.108957&partnerID=40&md5=e3568a2e14a27957e1e5472d5b02320e","This paper proposes a novel short-term sparse portfolio optimization (SSPO) model based on ℓ0-norm. Compared with existing approaches, this model selects the portfolio based on the short-term increasing potential of assets, and an ℓ0-norm constraint is introduced to directly control the maximum number of non-zero assets in selected portfolios. Unlike the ℓ1-norm based methods, the no-short-selling constraints can be directly used in our proposed model. Besides, a sparse regularization term is introduced to eliminate trivial trades in the SSPO system. Moreover, to solve the contained non-convex optimization system, an algorithm based on the concept of the alternating direction method of multipliers (ADMM) is developed. The convergence of the proposed algorithm is also investigated. Finally, the effectiveness of the proposed approach is demonstrated by some numerical experiments on four real-world datasets. © 2023","Alternating direction method of Multipliers; Convergence analysis; Sparse portfolio; ℓ<sub>0</sub>-Norm","Financial data processing; Alternating directions method of multipliers; Convergence analysis; Model-based OPC; Optimization algorithms; Optimization system; Portfolio optimization; Portfolio optimization models; Sparse portfolio; Sparse regularizations; ℓ0-norm; Convex optimization","Article","Final","","Scopus","2-s2.0-85150345422"
"Drenovak M.; Ranković V.; Urošević B.; Jelic R.","Drenovak, Mikica (36658948500); Ranković, Vladimir (15064848700); Urošević, Branko (6507927847); Jelic, Ranko (15727600800)","36658948500; 15064848700; 6507927847; 15727600800","Mean-Maximum Drawdown Optimization of Buy-and-Hold Portfolios Using a Multi-objective Evolutionary Algorithm","2022","Finance Research Letters","46","","102328","","","","10","10.1016/j.frl.2021.102328","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113179655&doi=10.1016%2fj.frl.2021.102328&partnerID=40&md5=ef3e6792c16e16191c02b01e2be3d11f","We develop a novel Mean-Max Drawdown portfolio optimization approach using buy-and-hold portfolios. The optimization is performed utilizing a multi-objective evolutionary algorithm on a sample of S&P 100 constituents. Our optimization procedure provides portfolios with better Mean-Max Drawdown trade-offs compared to relevant benchmarks, regardless of the selected subsamples and market conditions. The superior performance of our approach is particularly pronounced in periods with reversing market trends (i.e. a market rally and a fall in the same subsample). © 2021","Genetic algorithm; Maximum drawdown; Portfolio optimization; Risk management","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85113179655"
"Bedoui R.; Benkraiem R.; Guesmi K.; Kedidi I.","Bedoui, Rihab (56868493500); Benkraiem, Ramzi (24831486200); Guesmi, Khaled (41960904000); Kedidi, Islem (58660095100)","56868493500; 24831486200; 41960904000; 58660095100","Portfolio optimization through hybrid deep learning and genetic algorithms vine Copula-GARCH-EVT-CVaR model","2023","Technological Forecasting and Social Change","197","","122887","","","","1","10.1016/j.techfore.2023.122887","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174735256&doi=10.1016%2fj.techfore.2023.122887&partnerID=40&md5=f16674ed48a146d5269522b54620ff2d","This study investigates the potential benefits of using the Conditional Value at Risk (CVaR) portfolio optimization approach with a GARCH model, Extreme Value Theory (EVT), and Vine Copula to obtain the optimal allocation decision for a portfolio consisting of Bitcoin, gold, oil, and stock indices. First, we fit a suitable GARCH model to the return series for each asset, followed by employing the Generalized Pareto Distribution (GPD) to model the innovation tails. Next, we construct a Vine Copula-GARCH-EVT model to capture the interdependence structure between the assets. To refine risk assessment, we combine our model with a Monte Carlo simulation and Mean-CVaR model to optimize the portfolio. In addition, we utilize a novel version of deep machine learning's genetic algorithm to address the optimization decision. This research contributes new evidence to the CVaR portfolio optimization approach and provides insights for portfolio managers seeking to optimize multi-asset portfolios. © 2023 Elsevier Inc.","CVaR; EVT; GARCH; NSGA-II deep machine learning genetic algorithm; Portfolio optimization decision; Vine copula","Decision theory; Deep learning; Electronic trading; Intelligent systems; Learning algorithms; Monte Carlo methods; Pareto principle; Risk assessment; Conditional Value-at-Risk; Extreme value theory; GARCH; Machine-learning; NSGA-II; NSGA-II deep machine learning genetic algorithm; Portfolio optimization; Portfolio optimization decision; Risk modeling; Vine copula; currency; decision making; genetic algorithm; Internet; machine learning; numerical model; optimization; Genetic algorithms","Article","Final","","Scopus","2-s2.0-85174735256"
"Mittal S.K.; Srivastava N.","Mittal, Sunil Kumar (57209511685); Srivastava, Namita (55799759900)","57209511685; 55799759900","Mean-variance-skewness portfolio optimization under uncertain environment using improved genetic algorithm","2021","Artificial Intelligence Review","54","8","","6011","6032","21","15","10.1007/s10462-021-09966-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100839659&doi=10.1007%2fs10462-021-09966-2&partnerID=40&md5=495c6375f28a56d1da144f8734226484","An indeterminacy economic environment includes uncertainty during adopting experts knowledge for the analysis of stock returns. The main goal in this paper is to discuss the problem of portfolio selection with uncertain environment; because, the experts alone has the ability to evaluate the security returns and not with the historical data. However, the uncertain variables considered have shown the stock returns. Uncertainty programming is used to formulate mean-variance skewness indicating the problem of portfolio selection in uncertain environment based on different decision criteria. At different conditions, some significant crisp equivalents are explained for the ease of solving models within the uncertainty theory framework. Furthermore, this paper has solved the new models included in general cases using a general method developed through designing a novel hybrid intelligent algorithm. Ultimately, the developed algorithm and models applications and performance was evidently proved using a numerical example. © 2021, The Author(s), under exclusive licence to Springer Nature B.V. part of Springer Nature.","Genetic algorithm; Skewness; Uncertain goal programming; Zigzag uncertain variable","Electronic trading; Financial markets; Higher order statistics; Investments; Uncertainty analysis; Decision criterions; Economic environment; Hybrid intelligent algorithms; Portfolio optimization; Portfolio selection; Uncertain environments; Uncertain variables; Uncertainty programming; Genetic algorithms","Article","Final","","Scopus","2-s2.0-85100839659"
"Tagawa K.; Orito Y.","Tagawa, Kiyoharu (56266007100); Orito, Yukiko (6602763917)","56266007100; 6602763917","A mapping-based constraint-handling technique for evolutionary algorithms with its applications to portfolio optimization problems","2022","SICE Journal of Control, Measurement, and System Integration","15","1","","62","76","14","3","10.1080/18824889.2022.2040268","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156150510&doi=10.1080%2f18824889.2022.2040268&partnerID=40&md5=ee85b9a3e594698e10db474169bd7ac4","A novel Constraint-Handling Technique (CHT) for Evolutionary Algorithms (EAs) applied to constrained optimization problems is proposed. It is assumed that the feasible region of the constrained optimization problem is defined by a convex-hull of multiple vertices. On the other hand, without loss of generality, the search space of EA is given by a hyper-cube. The proposed CHT called Convex-Hull Mapping (CHM) transforms the real vector in the search space of EA into the solution in the feasible region. It is also proven that CHM performs a surjective mapping from the search space of EA to the feasible region. Although the proposed CHM can be applied to any EAs, one of the latest EAs, or Adaptive Differential Evolution (ADE), is used in this paper. By using ADE, CHM is compared with conventional CHTs in a real-world optimization problem in the field of finance, namely the portfolio optimization problem. Portfolio optimization is the process of determining the best proportion of investment in different assets according to some objective. Specifically, to reveal the characteristic of CHM depending on the number of the above vertices, three different formulations of the portfolio optimization problem are employed to evaluate the performance of ADE using CHM. Numerical experiments show that CHM is better than conventional CHTs in most cases. Moreover, the hybrid method combining CHM with a conventional CHT outperforms the original CHT. © 2022 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","constraint-handling; Evolutionary algorithms; portfolio optimization problems","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85156150510"
"Behera J.; Pasayat A.K.; Behera H.; Kumar P.","Behera, Jyotirmayee (57224546452); Pasayat, Ajit Kumar (56418600700); Behera, Harekrushna (57190963013); Kumar, Pankaj (7403961345)","57224546452; 56418600700; 57190963013; 7403961345","Prediction based mean-value-at-risk portfolio optimization using machine learning regression algorithms for multi-national stock markets","2023","Engineering Applications of Artificial Intelligence","120","","105843","","","","12","10.1016/j.engappai.2023.105843","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146874760&doi=10.1016%2fj.engappai.2023.105843&partnerID=40&md5=e8423bbf13dd9d74c3338d3b07bdd60a","The future performance of stock markets is the most crucial factor in portfolio creation. As machine learning technique is advancing, new possibilities have opened up for incorporating prediction concepts into portfolio selection. A hybrid approach that constitutes machine learning algorithms for stock return prediction and a mean–VaR (value-at-risk) model for portfolio selection is illustrated in this paper as a unique portfolio construction technique. Machine learning regression models such as Random Forest, Extreme Gradient Boosting (XGBoost), Adaptive Boosting (AdaBoost), Support Vector Machine Regression (SVR), k-Nearest Neighbors (KNN), and Artificial Neural Network (ANN) are adopted to forecast stock values for the next period. The stocks with greater prospective returns are chosen in the first stage of this affection. Further, the mean–VaR portfolio optimization model is employed for portfolio selection in the second stage. The monthly datasets of the Bombay Stock Exchange (BSE), India, Tokyo Stock Exchange, Japan, and Shanghai Stock Exchange, China, are used as the research sample, and the findings show that the mean–VaR model with AdaBoost prediction outperforms other models. © 2023 Elsevier Ltd","Machine learning; Portfolio optimization; Regression technique; Stock prediction; Value-at-risk","Commerce; Electronic trading; Financial markets; Forecasting; Investments; Learning systems; Nearest neighbor search; Neural networks; Regression analysis; Support vector machines; Value engineering; Machine-learning; Mean values; Multi-nationals; Portfolio optimization; Portfolio selection; Prediction-based; Regression algorithms; Regression techniques; Stock predictions; Value at Risk; Adaptive boosting","Article","Final","","Scopus","2-s2.0-85146874760"
