Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Recent progress and perspectives on quantum computing for finance,Service Oriented Computing and Applications,,16,4,10.1007/s11761-022-00351-7,Yehui TangJunchi YanGuoqiang HuBaohua ZhangJinzan Zhou,2022,http://link.springer.com/article/10.1007/s11761-022-00351-7,Article
Hybrid quantum investment optimization with minimal holding period,Scientific Reports,,11,1,10.1038/s41598-021-98297-x,Samuel MugelMario AbadMiguel BermejoJavier SánchezEnrique LizasoRomán Orús,2021,http://link.springer.com/article/10.1038/s41598-021-98297-x,Article
Quantum Computing Environments,,,,,10.1007/978-3-030-89746-8,Prof. Sitharama S. IyengarDr. Mario MastrianiDr. KJ Latesh Kumar,2022,http://link.springer.com/book/10.1007/978-3-030-89746-8,Book
Quantum-Like Contextual Utility Framework Application in Economic Theory and Wider Implications,Quantum Decision Theory and Complexity Modelling in Economics and Public Policy,,,,10.1007/978-3-031-38833-0_6,Sudip PatraSivani Yeddanapudi,2023,http://link.springer.com/chapter/10.1007/978-3-031-38833-0_6,Chapter
Quantum Software Engineering,,,,,10.1007/978-3-031-05324-5,Manuel A. SerranoRicardo Pérez-CastilloMario Piattini,2022,http://link.springer.com/book/10.1007/978-3-031-05324-5,Book
"Contemporary Quantum Computing Use Cases: Taxonomy, Review and Challenges",Archives of Computational Methods in Engineering,,30,1,10.1007/s11831-022-09809-5,Jaiteg SinghKamalpreet Singh Bhangu,2023,http://link.springer.com/article/10.1007/s11831-022-09809-5,Article
Quantum Machine Learning: An Applied Approach,,,,,10.1007/978-1-4842-7098-1,Santanu Ganguly,2021,http://link.springer.com/book/10.1007/978-1-4842-7098-1,Book
Constrained optimization via quantum Zeno dynamics,Communications Physics,,6,1,10.1038/s42005-023-01331-9,Dylan HermanRuslan ShaydulinYue SunShouvanik ChakrabartiShaohan HuPierre MinssenArthur RattewRomina YalovetzkyMarco Pistoia,2023,http://link.springer.com/article/10.1038/s42005-023-01331-9,Article
Application of Quantum Computing in Reliability Analysis,Advances in Computational Mathematics for Industrial System Reliability and Maintainability,,,,10.1007/978-3-031-53514-7_8,Mohammad Yazdi,2024,http://link.springer.com/chapter/10.1007/978-3-031-53514-7_8,Chapter
The effects of quantum hardware properties on the performances of variational quantum learning algorithms,Quantum Machine Intelligence,,6,1,10.1007/s42484-024-00144-5,Giuseppe BuonaiutoFrancesco GargiuloGiuseppe De PietroMassimo EspositoMarco Pota,2024,http://link.springer.com/article/10.1007/s42484-024-00144-5,Article
Quantum Computers,,,,,10.1007/978-981-19-7517-2,Belal Ehsan BaaquieLeong-Chuan Kwek,2023,http://link.springer.com/book/10.1007/978-981-19-7517-2,Book
Quantum computing for financial risk measurement,Quantum Information Processing,,22,1,10.1007/s11128-022-03777-2,Sascha WilkensJoe Moorhouse,2023,http://link.springer.com/article/10.1007/s11128-022-03777-2,Article
"Quantum Bridge Analytics II: QUBO-Plus, network optimization and combinatorial chaining for asset exchange",Annals of Operations Research,,314,1,10.1007/s10479-022-04695-3,Fred GloverGary KochenbergerMoses MaYu Du,2022,http://link.springer.com/article/10.1007/s10479-022-04695-3,Article
"Quantum Bridge Analytics II: QUBO-Plus, network optimization and combinatorial chaining for asset exchange",4OR,,18,4,10.1007/s10288-020-00464-9,Fred GloverGary KochenbergerMoses MaYu Du,2020,http://link.springer.com/article/10.1007/s10288-020-00464-9,Article
Enhancing the Financial Sector with Quantum Computing: A Comprehensive Review of Current and Future Applications,Proceedings of 22nd International Conference on Informatics in Economy (IE 2023),,,,10.1007/978-981-99-6529-8_17,Brandas ClaudiuEnache CosminDidraga OtnielAlbu Andrei,2024,http://link.springer.com/chapter/10.1007/978-981-99-6529-8_17,Chapter
Quantum Trading and Hedging Strategy,Quantum Finance,,,,10.1007/978-981-32-9796-8_6,Raymond S. T. Lee,2020,http://link.springer.com/chapter/10.1007/978-981-32-9796-8_6,Chapter
Quantum-Like Model of Subjective Expected Utility: A Survey of Applications to Finance,Beyond Traditional Probabilistic Methods in Economics,,,,10.1007/978-3-030-04200-4_5,Polina Khrennikova,2019,http://link.springer.com/chapter/10.1007/978-3-030-04200-4_5,Chapter
Quantum computing reduces systemic risk in financial networks,Scientific Reports,,13,1,10.1038/s41598-023-30710-z,Amine Mohamed AboussalahCheng ChiChi-Guhn Lee,2023,http://link.springer.com/article/10.1038/s41598-023-30710-z,Article
