"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Resolving multi objective stock portfolio optimization problem using genetic algorithm","Hoklie; L. R. Zuhal","Department of Industrial Engineering, University of Al Azhar Indonesia, Jakarta, Indonesia; Department of Industrial Engineering, University of Al Azhar Indonesia, Jakarta, Indonesia","2010 The 2nd International Conference on Computer and Automation Engineering (ICCAE)","19 Apr 2010","2010","2","","40","44","Portfolio optimization is an important research field in modern finance. The most important characteristic within this optimization problem is the risk and the returns. Modern portfolio theory provides a well-developed paradigm to form a portfolio with the highest expected return for a given level of risk tolerance. Multi objective portfolio optimization problem is the portfolio selection process that result highest expected return and smallest identified risk among the various financial assets. In this paper, we propose to identify expected return (mean profit) and risk using historical data of stock prices. The downside values of the variance of each stock are considered to be the identified risk in first case. The value at risk of each stock that we obtained using parametric and historical simulation methodology are considered to be the identified risk in second case. One of method being widely used lately for optimization need is Genetic Algorithm or GA. This method adapted the mechanism of biology mechanism involving natural selection. With many advantages it has, numerical process of a portfolio optimization in both case are attempted to be coupled with Genetic Algorithm. The values of expected return and risk of each stock will be used as inputs into a fitness function in Genetic Algorithm. Performance evaluation is done by examining the parameters of GA, such as population size, stall generation and number of elitism.","","978-1-4244-5586-7","10.1109/ICCAE.2010.5451372","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5451372","multi objective portfolio optimization;genetic algorithm;fitness function;expected return;risk","Portfolios;Genetic algorithms;Encoding;Optimization methods;Industrial engineering;Genetic mutations;Numerical analysis;MATLAB;Wheels;Constraint optimization","","21","","34","IEEE","19 Apr 2010","","","IEEE","IEEE Conferences"
"Portfolio Optimization Based on Novel Risk Assessment Strategy with Genetic Algorithm","B. -Y. Liao; H. -W. Chen; S. -Y. Kuo; Y. -H. Chou","Dept. of Computer Science and Information Engineering, National Chi-Nan University, Puli, Taiwan; Dept. of Computer Science and Information Engineering, National Chi-Nan University, Puli, Taiwan; Dept. of Computer Science and Information Engineering, National Chi-Nan University, Puli, Taiwan; Dept. of Computer Science and Information Engineering, National Chi-Nan University, Puli, Taiwan","2015 IEEE International Conference on Systems, Man, and Cybernetics","14 Jan 2016","2015","","","2861","2866","Stock selection is an important issue when it comes to investing in the stock market. However, it is worth investigating the problem of selecting portfolios while considering not only low risk but also high return on investment. The calculation process of the traditional method is highly complex and is not comprehensive in terms of what it takes into consideration. Hence, this paper proposes a new method to calculate portfolio risk. We utilize funds standardization in order to consider the risk of a portfolio and drastically reduce computation complexity. Funds standardization is able to represent fluctuations of investor mood. Moreover, using a Genetic algorithm (GA) combined with the Sharpe Ratio is able to identify the low risk and stable returns of a portfolio. Moreover, over-fitting is a common problem in the stock market, and so this paper uses sliding windows to avoid the over-fitting problem, and tests all kinds of training periods and testing periods that impact on the portfolio. The experimental results show that the proposed method, compared with the traditional method of calculating risk, is able to identify the optimal portfolio and performs efficiently and outstandingly when it comes to this problem.","","978-1-4799-8697-2","10.1109/SMC.2015.498","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7379630","Portfolio;Sharpe Ratio;Funds Standardization;Genetic algorithm (GA)","Portfolios;Standards;Stock markets;Genetic algorithms;Training;Investment","","10","","10","IEEE","14 Jan 2016","","","IEEE","IEEE Conferences"
"Portfolio management assessment by four multiobjective optimization algorithm","S. K. Mishra; G. Panda; S. Meher; R. Majhi; M. Singh","Department of Electronics and Communication Engineering, National Institute of Technology, Rourkela, India; School of Electrical Sciences, Indian Institute of Technology, Bhubaneswar, India; Department of Electronics and Communication Engineering, National Institute of Technology, Rourkela, India; School of Management, National Institute of Technology, Warangal, India; Department of Electronics and Communication Engineering, Chhatrapati Institute of Technology, Durg, India","2011 IEEE Recent Advances in Intelligent Computational Systems","3 Nov 2011","2011","","","326","331","The portfolio optimization aims to find an optimal set of assets to invest on, as well as the optimal investment for each asset. This optimal selection and weighting of assets is a multi-objective problem where total profit of investment has to be maximized and total risk is to be minimized. In this paper four well known multi-objective evolutionary algorithms i.e. Pareto Archived Evolution Strategy (PAES), Pareto Envelope-based Selection Algorithm (PESA), Adaptive Pareto Archived Evolution Strategy (APAES) algorithm and Non dominated Sorting Genetic Algorithm II (NSGA II) are chosen and successfully applied for solving the biobjective portfolio optimization problem. Their performances have been evaluated through simulation study and have been compared in terms of Pareto fronts, the delta, C and S metrics. Simulation results of various portfolios clearly demonstrate the superior portfolio management capability of NSGA II based method compared to other three standard methods. Finally NSGA II algorithm is applied to the same problem with some real world constraint.","","978-1-4244-9477-4","10.1109/RAICS.2011.6069328","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6069328","Multi-objective optimization;Pareto-optimal solutions;Crowding distance;Pareto front;portfolio management","Portfolios;Measurement;Optimization;Investments;Vectors;Mathematical model;Equations","","8","","10","IEEE","3 Nov 2011","","","IEEE","IEEE Conferences"
"A new evolutionary algorithm based on MOEA/D for portfolio optimization","H. Zhang; Y. Zhao; F. Wang; A. Zhang; P. Yang; X. Shen","School of Computer Science, Wuhan University, Wuhan, China; School of Computer Science, Wuhan University, Wuhan, China; School of Computer Science, Wuhan University, Wuhan, China; School of Mathematics and Statistics, Wuhan University, Wuhan, China; School of Mathematics and Statistics, Wuhan University, Wuhan, China; Economics and Management School, Wuhan University, Wuhan, China","2018 Tenth International Conference on Advanced Computational Intelligence (ICACI)","11 Jun 2018","2018","","","831","836","The portfolio optimization problem is a multi-objective problem which takes risk and return as optimization objectives. It is complicated in reality with many restrictions which results in an complex pareto front. MOEA/D is a popular multi-objective evolutionary algorithm framework with decomposition method, which has widely been used to solve multi-objective problems. In order to solve portfolio optimization problem with complex pareto front more effectively, we propose a new algorithm named MOEA/D-CP based on MOEA/D, which utilizes a new weight vector generation approach to generate a evenly distributed set of weight vectors. The experimental results show that the MOEA/D-CP performs much better than algorithm based on original MOEA/D.","","978-1-5386-4362-4","10.1109/ICACI.2018.8377569","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8377569","portfolio optimization;weight vector generation;complex pareto front","Portfolios;Investment;Analytical models;Pareto optimization;Computational modeling;Partitioning algorithms","","6","","19","IEEE","11 Jun 2018","","","IEEE","IEEE Conferences"
"Multi-objective indicator based evolutionary algorithm for portfolio optimization","S. S. Bhagavatula; S. G. Sanjeevi; D. Kumar; C. K. Yadav","Department of Computer Science & Engineering, N.I.T. Warangal, Warangal, India; Department of Computer Science & Engineering, N.I.T. Warangal, Warangal, India; Department of Computer Science & Engineering, N.I.T. Warangal, Warangal, India; Department of Computer Science & Engineering, N.I.T. Warangal, Warangal, India","2014 IEEE International Advance Computing Conference (IACC)","27 Mar 2014","2014","","","1206","1210","Portfolio optimization is a standard problem in the financial world for making investment decisions which involve investing into a variety of assets with the aim of maximizing yield and minimizing risk. Modern portfolio theory is a mathematical approach to the problem that endeavors to accomplish a plausive portfolio by giving best weighting of the assets. In this study, an indicator based evolutionary algorithm (IBEA) has been compared with two well known evolutionary algorithms-Non-dominated Sorting Genetic Algorithm II( NSGA- II) and Strength Pareto Evolutionary Algorithm (SPEA-II).The results reveal that IBEA outperforms the other two algorithms in terms of its closeness to the true pareto front. Also, a diversity enhanced version of IBEA (IBEA-D) is proposed, which is found to be providing more diverse solutions than IBEA.","","978-1-4799-2572-8","10.1109/IAdCC.2014.6779499","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6779499","multiobjective;portfolio optimization;hypervolume indicator;evolutionary algorithm;mating;survivor selection;crowded comparison","Portfolios;Evolutionary computation;Optimization;Sociology;Statistics;Measurement;Sorting","","4","","16","IEEE","27 Mar 2014","","","IEEE","IEEE Conferences"
"A Particle Swarm Optimization Algorithm Based on Diffusion-Repulsion and Application to Portfolio Selection","W. Jiang; Y. Zhang; J. Xie","Mathematical Modeling Innovative Practice Base of Zhuhai College, Jinan University, Zhuhai, China; Mathematical Modeling Innovative Practice Base of Zhuhai College, Jinan University, Zhuhai, China; Mathematical Modeling Innovative Practice Base of Zhuhai College, Jinan University, Zhuhai, China","2008 International Symposium on Information Science and Engineering","30 Dec 2008","2008","2","","498","501","Inspired by the diffusion movement phenomenon of the molecules, this paper presents a diffusion-repulsion particle swarm optimization (DRPSO). The proposed new algorithm (DRPSO) includes attraction and repulsion (or migration) phases. Once the diversity of population becomes too low, the individuals will be dispersed and carry out diffusion movement, while if the diversity of population becomes too high, the individuals have to be congregated, which is accomplished by diversity control method. Comparisons with standard SPSO and other algorithms on a portfolio problem indicate that DRPSO not only prevents premature convergence to a high degree, but also keeps a more rapid convergence rate than SPSO.","2160-1291","978-0-7695-3494-7","10.1109/ISISE.2008.248","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4732442","Particle Swarm Optimization;Diffusion;Portfolio Selection","Particle swarm optimization;Portfolios;Convergence;Predator prey systems;Information science;Mathematical model;Educational institutions;Diversity methods;History","","4","","12","IEEE","30 Dec 2008","","","IEEE","IEEE Conferences"
"PQPSO Algorithm in Multi-Stage Portfolio Optimization System","Y. Ma; L. Yang; D. Yang","College of Information Technology, TaiShan University, Tai'an, China; Taishan University, Tai'an, Shandong, CN; College of Information Technology, TaiShan University, Tai'an, China","2009 International Workshop on Intelligent Systems and Applications","12 Jun 2009","2009","","","1","4","Portfolio optimization problem decides the percentage of the overall portfolio value allocated to each portfolio component with specified risk-return characteristics. A multistage optimization manages portfolio in constantly changing financial markets by periodically rebalancing the asset portfolio to achieve return maximization and/or risk minimization. In this paper, we present a decision-making process that incorporates parallel quantum particle swarm optimization (PQPSO) Algorithm into multi-stage portfolio optimization system. The objective function is to maximize one's economic utility or end-of-period wealth. The performance of our algorithm is demonstrated by optimizing the allocation of cash and various stocks in Shanghai market of China. Experiments are conducted to compare performance of the portfolios optimized by different objective functions in terms of expected return and standard derivation.","","978-1-4244-3893-8","10.1109/IWISA.2009.5073013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5073013","","Portfolios;Asset management;Risk management;Investments;Financial management;Stochastic processes;Tree graphs;Decision making;Particle swarm optimization;Instruments","","3","","6","IEEE","12 Jun 2009","","","IEEE","IEEE Conferences"
"Multi-objective Portfolio Optimization Based on Fuzzy Genetic Algorithm","H. Yi; J. Yang","School of Business Administration, South China University of Technology, Guangzhou, China; School of Business Administration, South China University of Technology, Guangzhou, China","2013 Ninth International Conference on Computational Intelligence and Security","24 Feb 2014","2013","","","90","94","Based on the Markowitz portfolio model, this paper considered the liquidity of the risk assets, set the minimum expected return rate of investors, and changed the inequality constraint to semi-gradient fuzzy number. Then used the penalty factor to adjust the objective function, taking the maximum liquidity and minimum risk of portfolio as the objectives, we established the Multi-objective portfolio optimization model. Using the weekly return rate and weekly turnover rate data of eight stocks that are typical in several industries, we can get the Pareto optimal solution set of risk assets investment proportion by fuzzy genetic algorithm. Investors can accord to the personal attitude toward return, risk, liquidity to choose better investment combination proportion of risk assets.","","978-1-4799-2549-0","10.1109/CIS.2013.26","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6746362","Multi-objective;Fuzzy genetic algorithm;Pareto Optimality;Risk appetite","Portfolios;Investment;Optimization;Mathematical model;Security;Genetic algorithms;Linear programming","","3","","13","IEEE","24 Feb 2014","","","IEEE","IEEE Conferences"
"An island-based algorithm for group stock portfolio optimization","C. -H. Chen; W. -Y. Shen; T. -P. Hong; J. -H. Su","Department of Computer Science and Information Engineering, Tamkang University, Taipei, Taiwan; Department of Computer Science and Information Engineering, Tamkang University, Taipei, Taiwan; Department of Computer Science and Information Engineering, National University of Kaohsiung, Kaohsiung, Taiwan; Department of Information Management, Kainan University, Taoyuan, Taiwan","2017 Joint 17th World Congress of International Fuzzy Systems Association and 9th International Conference on Soft Computing and Intelligent Systems (IFSA-SCIS)","31 Aug 2017","2017","","","1","5","This paper presents an island-based optimization approach to speed up the evaluation process for optimizing a diverse group stock portfolio which can provide various chooses for users to make investment decisions. It first initializes a population for each island. For every t generation, the best chromosome of each island is selected and putted into a master island. Then, chromosomes in master island will migrate to other islands in order to get a near optimal solution. Experimental results on a real dataset were also conducted and indicated that the proposed approach is better than the previous approach in terms of evolution time and returns of the optimized stock portfolios.","","978-1-5090-4917-2","10.1109/IFSA-SCIS.2017.8023354","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8023354","grouping genetic algorithm;group stock portfolio;island-based grouping genetic algorithm;grouping problem;portfolio optimization problem","Biological cells;Portfolios;Sociology;Statistics;Optimization;Genetic algorithms;Genetics","","3","","15","IEEE","31 Aug 2017","","","IEEE","IEEE Conferences"
"Cardinality-constrained Portfolio optimization using an improved quick Artificial Bee Colony Algorithm","D. Suthiwong; M. Sodanil","Faculty of Information Technology, King Mongkut's University of Technology North Bangkok, Bangkok, Thailand; Faculty of Information Technology, King Mongkut's University of Technology North Bangkok, Bangkok, Thailand","2016 International Computer Science and Engineering Conference (ICSEC)","23 Feb 2017","2016","","","1","4","Portfolio optimization problem is related to investment trade-off between risk and return. The Investors have to make decision to how much invest money in each company stock while in the stock market there are so many stock to invest. And combination result yield return differently. This problem is one type of NP hard problems which recently trend using evolutionary computation (EC) and swarm intelligence based optimization techniques. Artificial Bee Colony (ABC) algorithm is the one which can be modeled to solve Portfolio optimization as well. In this paper propose an improved quick Artificial Bee Colony (iqABC) by modified employed bees phase to choose neighborhood solution by using Gbest value. Moreover, the performance of iqABC is compared with the state of art algorithms' performance in portfolio optimization problem.","","978-1-5090-4420-7","10.1109/ICSEC.2016.7859943","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7859943","","Mathematical model;Portfolios;Optimization;Computational modeling;Particle swarm optimization;Investment;Sociology","","3","","10","IEEE","23 Feb 2017","","","IEEE","IEEE Conferences"
