source,title,authors,DOI,issue year,type,number of citations,link
scopus,Quantum walk-based portfolio optimisation,Slate N.; Matwiejew E.; Marsh S.; Wang J.B.,10.22331/Q-2021-07-28-513,2021,Article,17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112526038&doi=10.22331%2fQ-2021-07-28-513&partnerID=40&md5=22a5272f4fdabdd8c7e438a490a21456
scopus,Portfolio Optimisation Using the D-Wave Quantum Annealer,Phillipson F.; Bhatia H.S.,10.1007/978-3-030-77980-1_4,2021,Conference paper,12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111387960&doi=10.1007%2f978-3-030-77980-1_4&partnerID=40&md5=0c31d5af85152bf2847014e10b605d1f
scopus,A quantum online portfolio optimization algorithm,Lim D.; Rebentrost P.,10.1007/s11128-024-04256-6,2024,Article,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185312317&doi=10.1007%2fs11128-024-04256-6&partnerID=40&md5=a31fa1cf3cc1576af11f473382746b7d
scopus,Trend Ratio-Based Portfolio Optimization Model Adopting Entanglement-enhanced Quantum-Inspired Evolutionary Computation in the Global Financial Markets,Jiang Y.-C.; Chang M.-H.; Chang Y.-Y.; Wu K.-M.; Chen P.-C.; Tong Y.F.; Lai Y.-T.; Kuo S.-Y.; Chou Y.-H.,10.1109/CEC53210.2023.10254025,2023,Conference paper,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173600405&doi=10.1109%2fCEC53210.2023.10254025&partnerID=40&md5=63039d99f517b433d290b8eba793c186
scopus,Multi-process analysis and portfolio optimization based on quantum mechanics (QM) under risk management in ASEAN exchanges: A case study of answering to the e-commerce and e-business direction,Chaiboonsri C.; Wannapan S.,10.4018/978-1-7998-4984-1.ch003,2020,Book chapter,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137743560&doi=10.4018%2f978-1-7998-4984-1.ch003&partnerID=40&md5=d3923fff106c1ca84657b5ddfcfaf31a
scopus,Dynamic portfolio optimization with real datasets using quantum processors and quantum-inspired tensor networks,Mugel S.; Kuchkovsky C.; Sánchez E.; Fernández-Lorenzo S.; Luis-Hita J.; Lizaso E.; Orús R.,10.1103/PhysRevResearch.4.013006,2022,Article,27,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122849165&doi=10.1103%2fPhysRevResearch.4.013006&partnerID=40&md5=033b520100dad77dcc4df39367cce1e2
scopus,The Visualization Tool for Portfolio Optimization Based on Quantum-inspired Metaheuristic Algorithms,Huang L.-E.; Hsu K.-N.; Kuo S.-Y.; Chou Y.-H.; Yang C.-C.; Tsai Y.-T.; Lo S.-T.; Tang J.-H.,10.1109/SMC53654.2022.9945422,2022,Conference paper,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142741740&doi=10.1109%2fSMC53654.2022.9945422&partnerID=40&md5=068a64f2fb585a719da6b52a4e656eb8
scopus,Experimental implementation of quantum-walk-based portfolio optimization,Qu D.; Matwiejew E.; Wang K.; Wang J.; Xue P.,10.1088/2058-9565/ad27e9,2024,Article,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186121127&doi=10.1088%2f2058-9565%2fad27e9&partnerID=40&md5=0e0d9c238dee3599df49716282445991
scopus,Entanglement Local Search-Assisted Quantum-Inspired Optimization for Portfolio Optimization in G20 Markets,Kuo S.-Y.; Lai Y.-T.; Jiang Y.-C.; Chang M.-H.; Wu K.-M.; Chen P.-C.; Chang Y.-Y.; Tong Y.F.; Chou Y.-H.,10.1145/3583133.3596370,2023,Conference paper,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169042798&doi=10.1145%2f3583133.3596370&partnerID=40&md5=678cb274290fedd1d1b8bd9481c2a456
scopus,Portfolio optimization with digitized counterdiabatic quantum algorithms,Hegade N.N.; Chandarana P.; Paul K.; Chen X.; Albarrán-Arriagada F.; Solano E.,10.1103/PhysRevResearch.4.043204,2022,Article,9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144614990&doi=10.1103%2fPhysRevResearch.4.043204&partnerID=40&md5=331d8e24f9de446559f2f2f6195409c3
scopus,"Strategic Portfolio Optimization Using Simulated, Digital, and Quantum Annealing",Lang J.; Zielinski S.; Feld S.,10.3390/app122312288,2022,Article,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143687843&doi=10.3390%2fapp122312288&partnerID=40&md5=54ba536debf44279e1edd14c1cddafc5
scopus,Quantum algorithms for portfolio optimization,Kerenidis I.; Prakash A.; Szilágyi D.,10.1145/3318041.3355465,2019,Conference paper,16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074761910&doi=10.1145%2f3318041.3355465&partnerID=40&md5=88584b30d6c0ebdac12e74eca9b3ea01
scopus,Reverse quantum annealing approach to portfolio optimization problems,Venturelli D.; Kondratyev A.,10.1007/s42484-019-00001-w,2019,Article,96,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114082782&doi=10.1007%2fs42484-019-00001-w&partnerID=40&md5=d7f91df8dbbd7f62b27096ba8f7940fd
scopus,"Best practices for portfolio optimization by quantum computing, experimented on real quantum devices",Buonaiuto G.; Gargiulo F.; De Pietro G.; Esposito M.; Pota M.,10.1038/s41598-023-45392-w,2023,Article,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176110024&doi=10.1038%2fs41598-023-45392-w&partnerID=40&md5=c315d22a119fa2360493aa0d008cda45
scopus,The Application of Quantum Approximation Optimization Algorithm in Portfolio Optimization; [量子近似优化算法在投资组合优化中的应用],Wu H.; Yuan H.; Chen B.; Wu L.; Li X.; Li X.,10.12178/1001-0548.2022019,2023,Article,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174143348&doi=10.12178%2f1001-0548.2022019&partnerID=40&md5=0fca4485f23fe4af8da0a9669d4daeae
scopus,Use Cases of Quantum Optimization for Finance,Mugel S.; Lizaso E.; Orús R.,10.1007/978-3-030-97273-8_15,2022,Book chapter,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135520768&doi=10.1007%2f978-3-030-97273-8_15&partnerID=40&md5=9aeeac451489072f15a49bb2bcb804db
scopus,Financial Portfolio Optimization Method Based on the Quantum Linear Discriminant Analysis; [基于量子判别分析法的量子连续投资组合优化算法],Chen B.; Yuan H.; Wu H.; Wu L.; Li X.; Li X.,10.12178/1001-0548.2022109,2023,Article,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178591337&doi=10.12178%2f1001-0548.2022109&partnerID=40&md5=b15cb2a883b061467ba065d2db996351
scopus,Multi-period investment portfolio selection of interval programming based on quantum optimization algorithm,Wu Y.; Hai T.; Zhang H.,10.24846/v27i4y201812,2018,Article,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059375424&doi=10.24846%2fv27i4y201812&partnerID=40&md5=0652c3904cec28a4b43e871dfdbe1f7a
scopus,Application of quantum computing in discrete portfolio optimization,Shunza J.; Akinyemi M.; Yinka-Banjo C.,10.1016/j.jmse.2023.02.001,2023,Article,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166639318&doi=10.1016%2fj.jmse.2023.02.001&partnerID=40&md5=045864b0359081fd71a5c73ce8f93bda
scopus,End-To-End Resource Analysis for Quantum Interior-Point Methods and Portfolio Optimization,Dalzell A.M.; Clader B.D.; Salton G.; Berta M.; Lin C.Y.-Y.; Bader D.A.; Stamatopoulos N.; Schuetz M.J.A.; Brandão F.G.S.L.; Katzgraber H.G.; Zeng W.J.,10.1103/PRXQuantum.4.040325,2023,Article,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178079871&doi=10.1103%2fPRXQuantum.4.040325&partnerID=40&md5=9e50462120366db3e146a764358f83e3
scopus,A constrained multi-period portfolio optimization model based on quantum-inspired optimization,Ramaiah K.; Soundarabai P.B.,10.1007/s11042-024-18597-y,2024,Article,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186175591&doi=10.1007%2fs11042-024-18597-y&partnerID=40&md5=e98ab5731e02900e13aba5a92ccc72c6
scopus,Hybrid quantum-classical optimization with cardinality constraints and applications to finance,Fernández-Lorenzo S.; Porras D.; García-Ripoll J.J.,10.1088/2058-9565/abf9af,2021,Article,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109322794&doi=10.1088%2f2058-9565%2fabf9af&partnerID=40&md5=d962bdfa26568d6ff14e441dfaac3cbb
scopus,Comparative Study between Quantum and Classical Methods: Few Observations from Portfolio Optimization Problem,Tripathy S.S.; Koul N.; Patel H.,10.1109/TQCEBT54229.2022.10041475,2022,Conference paper,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149170044&doi=10.1109%2fTQCEBT54229.2022.10041475&partnerID=40&md5=57d3bd8c7cf86c666d093bfb49c4a135
,,,,,,,
scopus,Backtesting Quantum Computing Algorithms for Portfolio Optimization,Carrascal G.; Hernamperez P.; Botella G.; Barrio A.D.,10.1109/TQE.2023.3337328,2024,Article,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179037821&doi=10.1109%2fTQE.2023.3337328&partnerID=40&md5=cb111d79a9ed1e6c6ccd5090f79fc71b
scopus,Optimization algorithms and investment portfolio analytics with machine learning techniques under time-varying liquidity constraints,Al Janabi M.A.M.,10.1108/JM2-10-2020-0259,2022,Article,12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106274228&doi=10.1108%2fJM2-10-2020-0259&partnerID=40&md5=c7ec1f152c449472ec17fb54dc8a2586
scopus,A novel evolutionary optimization algorithm based solution approach for portfolio selection problem,Shahid M.; Shamim M.; Ashraf Z.; Ansari M.S.,10.11591/ijai.v11.i3.pp843-850,2022,Article,8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132399848&doi=10.11591%2fijai.v11.i3.pp843-850&partnerID=40&md5=b29332a6291c41f0e59213ff109f2b20
scopus,Bilevel cutting-plane algorithm for cardinality-constrained mean-CVaR portfolio optimization,Kobayashi K.; Takano Y.; Nakata K.,10.1007/s10898-021-01048-5,2021,Article,9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109778732&doi=10.1007%2fs10898-021-01048-5&partnerID=40&md5=303de3f88b332697d8d0982a813268c7
scopus,Robust and Sparse Portfolio: Optimization Models and Algorithms,Zhao H.; Jiang Y.; Yang Y.,10.3390/math11244925,2023,Article,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180511485&doi=10.3390%2fmath11244925&partnerID=40&md5=1b08e2e114d5bd9c32a3e5f66271d3ac
scopus,Portfolio Optimization and Trading Strategies: a simulation approach,Biondo A.E.; Mazzarino L.; Rossello D.,,2022,Conference paper,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137121977&partnerID=40&md5=09e4018ae89b8e2c80553a2395d1221b
scopus,Hybrid SGD algorithms to solve stochastic composite optimization problems with application in sparse portfolio selection problems,Yang Z.-P.; Zhao Y.,10.1016/j.cam.2023.115425,2024,Article,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164226808&doi=10.1016%2fj.cam.2023.115425&partnerID=40&md5=e142d57639425a86bef555d64270ad76
scopus,Hybrid Enhanced Binary Honey Badger Algorithm with Quadratic Programming for Cardinality Constrained Portfolio Optimization,Ni B.; Wang Y.; Huang J.; Li G.,10.1142/S0129054122420151,2022,Article,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138027095&doi=10.1142%2fS0129054122420151&partnerID=40&md5=baebf40c01c4fdd813c64059924298e9
scopus,A Mayfly algorithm for cardinality constrained portfolio optimization,Zheng X.; Zhang C.; Zhang B.,10.1016/j.eswa.2023.120656,2023,Article,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161310900&doi=10.1016%2fj.eswa.2023.120656&partnerID=40&md5=5604ed3fb7ab848896e5dbf0d233143b
scopus,Trading Strategies Optimization by Genetic Algorithm under the Directional Changes Paradigm,Salman O.; Kampouridis M.; Jarchi D.,10.1109/CEC55065.2022.9870270,2022,Conference paper,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138678479&doi=10.1109%2fCEC55065.2022.9870270&partnerID=40&md5=43937ef4b79e8410c6f32f3c9c5a4df4
scopus,A novel MOPSO-SODE algorithm for solving three-objective SR-ES-TR portfolio optimization problem,Chen Y.; Zhao X.; Hao J.,10.1016/j.eswa.2023.120742,2023,Article,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164238227&doi=10.1016%2fj.eswa.2023.120742&partnerID=40&md5=417b4d945013b745d1c2e9e8487bdff2
scopus,Retraction: Deployment optimization of multistage investment portfolio service and hybrid intelligent algorithm under edge computing (PLoS ONE (2021) 16:6 (e0252244) DOI: 10.1371/journal.pone.025224),,10.1371/journal.pone.0294882,2023,Erratum,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181404761&doi=10.1371%2fjournal.pone.0294882&partnerID=40&md5=4a4eda2cca373fe683aa8a3fabd4648b
scopus,Enhancing Multi-Objective Optimization with Automatic Construction of Parallel Algorithm Portfolios,Ma X.; Liu S.; Hong W.,10.3390/electronics12224639,2023,Article,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178347836&doi=10.3390%2felectronics12224639&partnerID=40&md5=6e81cf7fcba15119475f454659c8aff0
scopus,Intelligent Black–Litterman Portfolio Optimization Using a Decomposition-Based Multi-Objective DIRECT Algorithm,Li C.; Chen Y.; Yang X.; Wang Z.; Lu Z.; Chi X.,10.3390/app12147089,2022,Article,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137351441&doi=10.3390%2fapp12147089&partnerID=40&md5=a15988a21dbeb33fa34211bafe6d5fdd
scopus,Development of smart trading strategy system based on computer dynamic prediction models and algorithm optimization,Wang Y.; Zheng B.,10.1109/ICDSCA56264.2022.9988696,2022,Conference paper,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146366683&doi=10.1109%2fICDSCA56264.2022.9988696&partnerID=40&md5=6273eddc9a64da7b189d760bfba97d33
scopus,Portfolio Optimization for US-Based Equity Instruments Using Monte-Carlo Simulation,Mukherjee A.; Singh A.K.; Mallick P.K.; Samanta S.R.,10.1007/978-981-16-8763-1_57,2022,Conference paper,14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132016354&doi=10.1007%2f978-981-16-8763-1_57&partnerID=40&md5=211a5c5021c1d49f512246202ce6af21
scopus,"Portfolio optimization in the capital market bubble space, an application of meta-heuristic algorithms",Mohammadi I.; Mohammadi Khoshouei H.; Aghaei Chadegani A.,10.1108/MF-03-2022-0133,2023,Article,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144057244&doi=10.1108%2fMF-03-2022-0133&partnerID=40&md5=e961239f6d20cd40cb555035e8af17f1
scopus,A Multi-Period Constrained Multi-Objective Evolutionary Algorithm with Orthogonal Learning for Solving the Complex Carbon Neutral Stock Portfolio Optimization Model,Chen Y.; Ye L.; Li R.; Zhao X.,10.1007/s11424-023-2406-3,2023,Article,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152895330&doi=10.1007%2fs11424-023-2406-3&partnerID=40&md5=83a8e7ed7505399f108f84f30b420e13
scopus,Foreign exchange forecasting and portfolio optimization strategy based on hybrid-molecular differential evolution algorithms,Zhang X.; Zhong C.; Abualigah L.,10.1007/s00500-022-07526-6,2023,Article,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141372145&doi=10.1007%2fs00500-022-07526-6&partnerID=40&md5=ea2109736ea47f70316335de1dcf6727
scopus,Study on Trading Strategy Model of Financial Assets Based on Modified LSTM and Single-Objective Optimization Algorithm,Zhang X.; Chen X.,10.1007/978-981-99-0923-0_93,2023,Conference paper,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152630912&doi=10.1007%2f978-981-99-0923-0_93&partnerID=40&md5=6e1e9e73f7570f1c38f149323f608032
scopus,A Multi-objective Evolutionary Algorithm Based on Piecewise Parallel Decomposition for Portfolio Optimization,Wu Y.; Wei J.; Ying W.; Cui Z.; Pan X.; Wang Z.,10.1007/978-981-19-4109-2_5,2022,Conference paper,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136336885&doi=10.1007%2f978-981-19-4109-2_5&partnerID=40&md5=38c1fe8e84d9bb52fd5fe82fe3dc8727
scopus,Research on Stock Market Portfolio Optimization Using Stochastic Matrix Theory and Genetic Algorithm,Zhang Y.,10.1155/2022/8355934,2022,Article,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137652540&doi=10.1155%2f2022%2f8355934&partnerID=40&md5=f0b8d5c57ecdee04ba336e39b89db6ba
scopus,Intelligent portfolio asset prediction enabled by hybrid Jaya-based spotted hyena optimization algorithm,Sharma M.; Shekhawat H.S.,10.1108/K-09-2020-0563,2021,Article,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100840704&doi=10.1108%2fK-09-2020-0563&partnerID=40&md5=07afff5d078fdbcc28128364fe9621a7
scopus,PS-AAS: Portfolio Selection for Automated Algorithm Selection in Black-Box Optimization,Kostovska A.; Cenikj G.; Vermetten D.; Jankovic A.; Nikolikj A.; Škvorc U.; Korošec P.; Doerr C.; Eftimov T.,,2023,Conference paper,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184348669&partnerID=40&md5=d0ed87950b244c490c3bd0403fedf1ff
scopus,Portfolio Optimization with Mean Absolute Deviation Model Using Particle Swarm Optimization Algorithm: A Case Study in Indonesia During Covid-19 Pandemic,Aisyah H.; Herdiana R.; Surarso B.; Widowati,10.1063/5.0105875,2023,Conference paper,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147291685&doi=10.1063%2f5.0105875&partnerID=40&md5=821bd34e9070cc4a6f6af0113a14f4a4
scopus,Stock portfolio optimization based on factor analysis and second-order memetic differential evolution algorithm,Han N.; Chen Y.; Ye L.; Zhao X.,10.1007/s12293-024-00405-7,2024,Article,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185136439&doi=10.1007%2fs12293-024-00405-7&partnerID=40&md5=f52386aab6c8add9fb5e5fae00444c12
scopus,Solution to the Unconstrained Portfolio Optimisation Problem Using a Genetic Algorithm,Shah H.; Pant M.,10.1007/978-981-19-6525-8_36,2023,Conference paper,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150986095&doi=10.1007%2f978-981-19-6525-8_36&partnerID=40&md5=41b0bf1c3b93b6568fd9963ea56735ae
scopus,Portfolio Optimization Based on Quantum HHL Algorithm,Li Q.; Wu H.; Qian W.; Li X.; Zhu Q.; Yang S.,10.1007/978-3-031-06788-4_8,2022,Conference paper,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135047041&doi=10.1007%2f978-3-031-06788-4_8&partnerID=40&md5=baa171aa3e6c8c9afbb69471574c82a9
scopus,Portfolio Optimization Using Quantum-Inspired Modified Genetic Algorithm,Gunjan A.; Bhattacharyya S.; Hassanien A.E.,10.1007/978-981-99-3416-4_53,2023,Conference paper,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168774985&doi=10.1007%2f978-981-99-3416-4_53&partnerID=40&md5=3a1dce98bdbba874262170dba4471342
scopus,Solving Portfolio Selection Problem Using Whale Optimization Algorithm,Hasan F.; Ahmad F.; Shahid M.; Khan A.; Ahmad G.,10.1109/ICCAKM54721.2022.9990079,2022,Conference paper,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146300947&doi=10.1109%2fICCAKM54721.2022.9990079&partnerID=40&md5=782859cb18eb4261cfdae510749bce85
scopus,Portfolio optimization based on self-organizing maps clustering and genetics algorithm,Farid F.; Rosadi D.,10.26555/ijain.v8i1.587,2022,Article,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130804599&doi=10.26555%2fijain.v8i1.587&partnerID=40&md5=8f6bfb926ea8720945e1aef654754a38
scopus,Research on Optimization of Efficient and Scalable Mutli-Raft Consensus Algorithm for Supply Chain Finance,Du N.; Yan D.; Liang Z.; Huang Y.; Liu T.; Zhong C.,10.1109/SDPC55702.2022.9915826,2022,Conference paper,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141501425&doi=10.1109%2fSDPC55702.2022.9915826&partnerID=40&md5=df91a848edb4a1a0748cf0c245606937
scopus,A quantum online portfolio optimization algorithm,Lim D.; Rebentrost P.,10.1007/s11128-024-04256-6,2024,Article,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185312317&doi=10.1007%2fs11128-024-04256-6&partnerID=40&md5=a31fa1cf3cc1576af11f473382746b7d
scopus,Power grid portfolio investment decision optimization based on RWCS algorithm,Mei X.; Deng X.; Jin X.; Han F.,10.1117/12.3006610,2023,Conference paper,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176142880&doi=10.1117%2f12.3006610&partnerID=40&md5=caf0334002375d3d4c407f97753c196c
scopus,Retraction: Deployment optimization of multi-stage investment portfolio service and hybrid intelligent algorithm under edge computing,,10.1371/journal.pone.0294882,2023,Erratum,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178523256&doi=10.1371%2fjournal.pone.0294882&partnerID=40&md5=ac2ae1b9bb34d1a57cebe074cbc805b0
scopus,Portfolio optimization with digitized counterdiabatic quantum algorithms,Hegade N.N.; Chandarana P.; Paul K.; Chen X.; Albarrán-Arriagada F.; Solano E.,10.1103/PhysRevResearch.4.043204,2022,Article,9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144614990&doi=10.1103%2fPhysRevResearch.4.043204&partnerID=40&md5=331d8e24f9de446559f2f2f6195409c3
scopus,A hybrid level-based learning swarm algorithm with mutation operator for solving large-scale cardinality-constrained portfolio optimization problems,Kaucic M.; Piccotto F.; Sbaiz G.; Valentinuz G.,10.1016/j.ins.2023.03.115,2023,Article,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150411782&doi=10.1016%2fj.ins.2023.03.115&partnerID=40&md5=cbcc2610e77447eef785ccc5a9fea8cc
scopus,Algorithm Optimization Model of Trading Strategy based on CEEMDAN-SE-LSTM and Artificial Intelligence,Zhang J.; Fan L.; Gu K.,10.1145/3558819.3565218,2022,Conference paper,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149996479&doi=10.1145%2f3558819.3565218&partnerID=40&md5=434c067746e889c01f0e78b9df48c4ef
scopus,Research on portfolio optimization model and algorithm based on decision tree,Ni X.,10.1145/3510858.3511349,2021,Conference paper,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126230186&doi=10.1145%2f3510858.3511349&partnerID=40&md5=1650c7721bf867686b13970db332b2a1
scopus,Semi-Metric Portfolio Optimization: A New Algorithm Reducing Simultaneous Asset Shocks,James N.; Menzies M.; Chan J.,10.3390/econometrics11010008,2023,Article,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150985155&doi=10.3390%2feconometrics11010008&partnerID=40&md5=309f254ffe3b4460e6d7b9b64a542d1b
scopus,Application of Multi-objective Optimization Algorithm in Financial Market Portfolio,Wu Y.,10.1007/978-981-16-9735-7_11,2022,Conference paper,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131137027&doi=10.1007%2f978-981-16-9735-7_11&partnerID=40&md5=8e25b085f1210ca2c12b21acb4b1170a
scopus,The Application of Quantum Approximation Optimization Algorithm in Portfolio Optimization; [量子近似优化算法在投资组合优化中的应用],Wu H.; Yuan H.; Chen B.; Wu L.; Li X.; Li X.,10.12178/1001-0548.2022019,2023,Article,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174143348&doi=10.12178%2f1001-0548.2022019&partnerID=40&md5=0fca4485f23fe4af8da0a9669d4daeae
scopus,A constrained consensus based optimization algorithm and its application to finance,Bae H.-O.; Ha S.-Y.; Kang M.; Lim H.; Min C.; Yoo J.,10.1016/j.amc.2021.126726,2022,Article,9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118497551&doi=10.1016%2fj.amc.2021.126726&partnerID=40&md5=994d239604e5445c0d9317556b52c620
scopus,A MODIFIED NONLINEAR CONJUGATE GRADIENT ALGORITHM FOR UNCONSTRAINED OPTIMIZATION AND PORTFOLIO SELECTION PROBLEMS,Diphofu T.; Kaelo; Tufa A.R.,10.1051/ro/2023037,2023,Article,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158872938&doi=10.1051%2fro%2f2023037&partnerID=40&md5=561984b9d627a90bd278a28f37ad5846
